,Latitude,Longitudes,city,Humidity,Cloudiness,Temperature,Wind Speed
0,-43,-32,laguna,27.0,75.0,26.0,3.1
1,-77,8,hermanus,56.0,0.0,19.77,3.67
2,-72,-71,ushuaia,37.0,40.0,13.55,10.8
3,-4,39,kinango,83.0,20.0,27.0,2.1
5,18,-15,nouakchott,72.0,0.0,23.42,4.07
6,-20,29,bulawayo,52.0,92.0,24.22,2.87
7,17,51,salalah,74.0,20.0,26.0,2.1
8,-33,64,souillac,49.0,0.0,8.45,4.6
9,9,-60,mabaruma,73.0,24.0,28.52,5.22
10,32,-34,ribeira grande,97.0,20.0,17.42,4.92
12,-49,-2,cape town,68.0,0.0,19.0,6.7
13,25,-15,aguimes,59.0,20.0,18.0,12.3
14,39,46,ordubad,53.0,90.0,11.0,4.1
16,-40,63,saint-philippe,59.0,1.0,2.53,3.1
17,23,-65,road town,61.0,40.0,26.26,4.1
18,-24,-43,marica,94.0,75.0,24.32,4.6
19,-11,3,jamestown,95.0,24.0,14.72,3.92
20,47,66,zhezkazgan,91.0,76.0,1.22,7.27
21,16,0,gao,14.0,0.0,32.22,6.17
22,-27,-73,copiapo,49.0,0.0,21.0,4.1
23,73,45,kamenka,93.0,76.0,-4.34,4.57
24,4,-24,sao filipe,86.0,0.0,22.87,8.22
25,-72,44,port alfred,83.0,36.0,20.37,4.87
26,16,-62,vieux-habitants,62.0,75.0,29.0,7.7
27,-35,-62,lincoln,61.0,40.0,9.1,7.7
28,20,-23,santa maria,50.0,0.0,26.0,4.6
29,-29,56,saint-joseph,61.0,0.0,11.84,1.5
32,44,44,sovetskaya,89.0,88.0,-0.94,4.12
33,14,20,oum hadjer,49.0,20.0,31.32,1.32
34,-18,5,namibe,100.0,68.0,25.82,4.92
35,1,0,takoradi,93.0,0.0,28.72,5.32
36,-17,27,choma,65.0,0.0,23.32,3.27
38,-1,-7,harper,68.0,90.0,19.66,5.7
39,-13,62,grand gaube,83.0,75.0,27.0,4.1
40,18,-63,marigot,41.0,40.0,33.0,2.1
41,74,-43,ilulissat,84.0,90.0,-16.0,4.6
42,66,-71,iqaluit,63.0,20.0,-22.0,8.2
44,-12,17,catabola,78.0,48.0,21.07,1.07
45,79,27,mehamn,85.0,75.0,-6.28,6.7
46,66,30,kuusamo,85.0,0.0,-11.0,1.5
47,28,14,sabha,13.0,12.0,20.72,8.12
48,-5,-75,lagunas,64.0,44.0,31.37,1.37
49,59,-51,paamiut,100.0,12.0,-4.14,15.52
50,4,-31,touros,71.0,20.0,29.97,5.82
52,-66,21,bredasdorp,60.0,0.0,20.0,7.2
53,31,-53,saint george,81.0,90.0,12.0,9.8
54,-16,-38,belmonte,70.0,20.0,11.31,1.77
56,40,-42,torbay,92.0,90.0,-2.47,8.7
57,69,-12,hofn,81.0,20.0,6.0,8.2
58,0,10,kango,86.0,56.0,26.57,1.27
59,46,58,shubarshi,76.0,80.0,-0.04,6.12
60,-13,-57,nortelandia,65.0,20.0,32.67,3.07
61,47,-13,carballo,71.0,0.0,9.48,1.5
62,56,-37,nanortalik,97.0,0.0,-1.59,14.67
64,66,-9,vestmanna,100.0,80.0,7.0,3.6
65,74,74,dikson,90.0,20.0,-23.64,12.92
66,56,68,armizonskoye,94.0,80.0,-4.54,2.52
67,8,47,garowe,34.0,8.0,24.17,1.42
69,-10,4,soyo,84.0,8.0,27.37,2.52
70,72,-68,clyde river,62.0,40.0,-27.0,5.1
71,29,13,awbari,13.0,8.0,18.22,6.92
72,51,21,starachowice,83.0,0.0,-3.79,3.82
73,-41,-55,mar del plata,39.0,36.0,20.06,12.07
74,-15,25,kaoma,56.0,8.0,25.02,2.72
75,-54,-26,cidreira,70.0,0.0,24.72,3.27
76,-31,-27,sao joao da barra,94.0,75.0,24.0,4.1
80,-60,50,east london,93.0,40.0,17.0,2.6
81,17,-68,cabo rojo,54.0,40.0,29.0,3.6
83,-72,34,port elizabeth,64.0,1.0,4.0,6.2
84,-8,19,lucapa,82.0,36.0,23.72,1.52
88,55,35,iznoski,86.0,36.0,-4.84,5.47
89,54,-10,westport,100.0,90.0,8.0,6.2
90,19,58,ibra,48.0,0.0,16.67,1.42
91,-29,-58,mercedes,55.0,12.0,26.42,4.07
93,-16,69,quatre cocos,83.0,75.0,27.0,4.1
95,-8,-46,balsas,98.0,92.0,24.67,2.97
96,61,-58,maniitsoq,100.0,20.0,-13.04,8.52
99,59,14,mariestad,74.0,0.0,-1.0,1.0
102,-12,-52,sao miguel do araguaia,93.0,24.0,28.97,2.02
105,48,-54,carbonear,86.0,90.0,-2.52,8.2
106,-28,-71,vallenar,69.0,0.0,23.17,1.27
108,-5,-5,tabou,99.0,20.0,28.42,6.17
109,76,-35,tasiilaq,79.0,75.0,-2.0,4.1
111,-70,28,kruisfontein,86.0,8.0,18.72,5.92
112,68,33,monchegorsk,68.0,64.0,-11.54,1.97
113,-5,-12,georgetown,55.0,40.0,31.0,7.2
114,8,60,bandarbeyla,100.0,0.0,25.82,2.87
116,-12,78,hithadhoo,100.0,64.0,28.52,4.82
117,40,30,bozuyuk,87.0,75.0,12.33,3.1
118,49,-51,bonavista,92.0,76.0,-0.39,8.32
119,63,19,ornskoldsvik,58.0,0.0,0.1,2.1
121,46,1,saint-junien,56.0,40.0,7.09,3.1
124,-17,22,shakawe,93.0,12.0,22.32,1.17
125,38,-5,cordoba,59.0,76.0,19.37,0.77
128,57,48,orshanka,86.0,44.0,-10.34,2.77
129,-28,4,luderitz,72.0,0.0,19.0,7.2
131,44,10,lerici,37.0,0.0,10.0,3.1
132,67,10,rorvik,100.0,75.0,1.45,1.0
133,-1,60,victoria,94.0,75.0,25.0,0.42
134,20,57,nizwa,37.0,0.0,17.47,1.62
136,23,-43,ponta do sol,82.0,20.0,26.57,2.87
137,-35,-76,talcahuano,93.0,90.0,16.0,6.2
138,51,-68,port-cartier,97.0,75.0,0.0,5.1
139,44,-26,lagoa,72.0,0.0,15.0,8.7
141,14,26,umm kaddadah,17.0,0.0,24.17,1.47
150,-17,-62,santa rosa,32.0,0.0,28.07,4.12
151,62,52,kortkeros,84.0,20.0,-17.0,1.0
152,58,58,lysva,84.0,80.0,-9.29,3.57
153,-9,13,luanda,79.0,24.0,28.52,3.67
155,-49,-56,rawson,27.0,0.0,25.42,6.57
156,-23,-68,calama,22.0,0.0,24.0,8.2
157,-1,21,boende,72.0,36.0,26.77,1.07
158,2,54,hobyo,86.0,24.0,26.87,3.02
162,23,-48,codrington,100.0,92.0,17.52,1.62
163,-31,12,oranjemund,90.0,0.0,16.87,6.77
167,-40,-58,necochea,67.0,68.0,22.17,7.62
168,1,-52,mazagao,59.0,40.0,34.0,5.1
172,-51,78,mahebourg,83.0,75.0,27.0,4.1
173,-45,-6,saldanha,42.0,32.0,11.47,3.67
177,-15,19,menongue,90.0,36.0,20.47,0.87
179,38,-79,waynesboro,37.0,1.0,11.76,2.1
180,59,56,maykor,77.0,8.0,-14.04,4.27
183,-8,-48,araguaina,95.0,64.0,26.82,3.02
188,-30,-76,coquimbo,68.0,0.0,19.0,4.1
189,46,0,angouleme,52.0,20.0,8.53,4.6
191,-18,-40,montanha,75.0,64.0,28.27,5.17
192,72,70,yar-sale,34.0,0.0,-30.59,4.67
194,-36,-68,san rafael,22.0,0.0,25.77,2.12
195,39,-56,saint-pierre,93.0,90.0,5.45,5.7
197,31,-76,wilmington,48.0,1.0,4.28,8.2
200,32,-17,camara de lobos,59.0,20.0,16.0,4.6
201,31,-23,los llanos de aridane,55.0,20.0,18.0,6.7
202,36,27,karpathos,77.0,20.0,18.0,8.2
206,-44,-40,chuy,83.0,0.0,23.02,2.22
209,62,17,hudiksvall,83.0,12.0,1.06,3.77
212,20,37,sawakin,92.0,0.0,22.87,1.07
214,-11,-35,coruripe,91.0,8.0,28.27,5.67
215,-45,-77,castro,98.0,92.0,13.22,4.22
217,5,65,ugoofaaru,100.0,0.0,28.67,3.82
221,53,71,stepnyak,93.0,48.0,1.87,6.92
228,51,-56,saint anthony,87.0,90.0,5.98,2.6
233,73,-58,upernavik,100.0,32.0,-24.14,2.47
235,67,6,bud,86.0,75.0,3.34,2.1
237,48,79,ayagoz,84.0,64.0,6.17,1.87
243,-15,-38,ilheus,93.0,36.0,28.47,3.82
245,39,68,tursunzoda,51.0,90.0,16.0,5.0
247,42,57,akdepe,66.0,0.0,9.0,2.1
248,-15,-25,maragogi,83.0,24.0,28.17,4.62
254,69,42,ostrovnoy,77.0,44.0,-11.94,4.77
256,-37,-76,lebu,38.0,92.0,17.87,2.37
258,46,-25,praia da vitoria,99.0,92.0,17.22,4.87
262,49,-14,dingle,84.0,24.0,24.12,5.57
269,24,11,gat,22.0,12.0,35.17,2.92
271,67,-60,pangnirtung,69.0,20.0,-24.0,3.1
272,56,45,lyskovo,84.0,64.0,-7.64,2.22
273,31,-78,mount pleasant,35.0,1.0,21.4,4.1
274,-5,-58,jacareacanga,94.0,75.0,26.0,0.57
275,40,10,tortoli,42.0,40.0,8.0,6.7
277,-2,-56,juruti,60.0,12.0,32.17,1.77
282,-5,21,luebo,79.0,24.0,25.37,1.07
285,66,62,verkhnyaya inta,62.0,20.0,-22.14,1.27
287,52,18,pleszew,79.0,56.0,1.42,5.37
288,46,14,idrija,51.0,0.0,5.41,6.7
289,37,-25,vila franca do campo,93.0,75.0,17.0,3.6
290,-24,-25,caravelas,99.0,0.0,28.27,6.47
291,47,-63,charlottetown,100.0,90.0,-2.0,13.4
292,60,-55,nuuk,85.0,90.0,-10.0,7.7
294,23,-73,cockburn town,100.0,8.0,25.67,1.62
297,38,-2,cehegin,16.0,0.0,17.0,2.6
298,54,23,suwalki,75.0,24.0,-0.34,4.32
302,74,-78,qaanaaq,100.0,32.0,-27.74,1.92
306,-24,-64,libertador general san martin,64.0,75.0,21.0,1.12
307,21,78,chandur,35.0,0.0,21.07,3.32
309,52,-77,matagami,81.0,76.0,23.07,1.12
312,18,75,kalas,59.0,0.0,19.0,2.1
314,-20,-74,ilo,68.0,0.0,23.22,2.32
315,-37,-26,arraial do cabo,94.0,75.0,25.49,1.5
316,22,8,arlit,14.0,36.0,30.07,4.52
317,-9,-47,morros,70.0,75.0,31.0,7.2
318,26,27,abnub,31.0,0.0,31.0,2.6
320,8,-74,santa rosa del sur,78.0,8.0,29.22,1.12
321,-19,39,mocuba,90.0,48.0,23.87,1.32
322,14,-22,vila do maio,60.0,0.0,24.0,9.8
324,-8,31,namanyere,92.0,20.0,16.17,0.92
331,22,12,bilma,10.0,24.0,30.07,3.42
336,-27,-69,diego de almagro,80.0,0.0,22.72,1.67
338,-21,15,khorixas,50.0,20.0,26.22,3.27
340,78,26,honningsvag,85.0,75.0,-7.0,9.3
341,37,0,sidi ali,97.0,0.0,6.72,1.17
343,68,22,kautokeino,86.0,0.0,-10.04,3.07
350,68,9,sorland,100.0,0.0,0.0,2.1
351,-20,-69,iquique,64.0,0.0,22.0,7.2
355,-4,17,bandundu,85.0,0.0,26.17,1.12
357,18,-2,tombouctou,12.0,20.0,29.87,7.07
363,64,17,timra,47.0,0.0,1.85,2.6
366,-19,41,angoche,100.0,64.0,27.82,3.22
367,-15,-68,mapiri,85.0,56.0,18.81,1.42
368,13,-19,gunjur,33.0,24.0,32.0,4.1
370,3,-48,amapa,66.0,40.0,30.0,4.6
372,-24,-30,vila velha,79.0,75.0,29.0,5.1
374,-4,-46,santa ines,55.0,75.0,18.54,7.7
376,-77,76,busselton,100.0,36.0,18.97,7.42
377,25,77,chhabra,44.0,0.0,19.67,1.92
381,-1,47,mogadishu,98.0,12.0,28.07,3.47
382,-28,-44,ilhabela,100.0,64.0,24.22,5.67
384,59,-47,qaqortoq,69.0,40.0,1.0,4.1
392,-3,24,lodja,64.0,0.0,27.12,1.72
393,37,6,constantine,99.0,75.0,1.0,5.7
396,53,-5,llangefni,75.0,90.0,8.0,13.9
397,16,62,sur,87.0,0.0,24.52,0.97
398,-14,14,caluquembe,98.0,88.0,18.31,1.12
402,61,31,pitkyaranta,95.0,88.0,-1.34,2.17
403,-5,12,loandjili,94.0,40.0,24.0,1.5
406,-6,0,port-gentil,88.0,20.0,26.0,8.7
407,24,0,adrar,11.0,0.0,19.0,8.7
410,-33,21,swellendam,60.0,0.0,20.0,7.2
412,11,78,karur,81.0,64.0,25.22,1.87
416,-28,-57,ayolas,54.0,92.0,29.27,2.62
417,52,50,perelyub,88.0,80.0,-5.59,5.97
418,47,-59,channel-port aux basques,87.0,92.0,0.92,16.77
420,18,22,faya,72.0,0.0,19.51,2.1
422,37,59,quchan,97.0,44.0,3.27,0.82
427,34,-17,camacha,58.0,40.0,15.57,5.1
428,-38,37,margate,93.0,75.0,13.0,2.1
435,-5,-71,benjamin constant,66.0,75.0,30.01,1.0
437,3,2,anloga,79.0,20.0,29.0,6.7
438,2,71,kudahuvadhoo,100.0,48.0,28.32,4.12
439,-9,-75,campoverde,48.0,0.0,8.51,6.2
441,-9,16,malanje,79.0,20.0,20.87,1.67
442,27,21,jalu,23.0,36.0,28.12,8.97
444,32,-13,teguise,59.0,20.0,18.0,11.8
445,71,19,tromso,86.0,40.0,-3.0,2.6
450,20,-62,the valley,65.0,20.0,28.0,7.2
455,-8,-76,tocache,83.0,56.0,20.67,1.22
457,69,53,iskateley,73.0,48.0,-14.54,6.27
458,-21,54,saint-paul,45.0,0.0,6.96,5.7
461,-10,-58,alta floresta,54.0,20.0,32.87,1.37
462,-14,26,kasempa,98.0,32.0,17.92,1.02
466,-33,-65,rio cuarto,30.0,0.0,28.0,6.7
469,73,12,gravdal,93.0,75.0,2.54,1.5
473,-22,-71,tocopilla,77.0,8.0,20.97,3.17
474,-9,-51,conceicao do araguaia,56.0,75.0,34.0,3.1
479,54,65,zverinogolovskoye,86.0,44.0,-5.39,3.67
480,6,12,banyo,86.0,56.0,21.67,1.67
481,-48,-73,coihaique,58.0,75.0,12.25,5.1
485,40,0,burriana,29.0,0.0,17.0,4.1
486,-26,33,maputo,94.0,90.0,22.0,4.6
489,73,-14,husavik,100.0,20.0,0.47,1.97
492,48,-2,rennes,61.0,90.0,8.0,3.6
